"Category","Subcategory","Enrichment","P-value","P-adjusted","Q-value","Observed","miRNAs/precursors"
"Target genes (miRTarBase)","ARHGAP12","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ARID4B","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ARL9","enriched","8.55e-4","0.0189655","0.0189655","4","hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p"
"Target genes (miRTarBase)","ARMT1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ARSJ","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ATAD2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ATAT1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ATP1B3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","B2M","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BCL2L11","enriched","7.05e-4","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-148a-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BCL2L2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BHMT2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BICD2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BMP2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BMP8B","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BSCL2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BTF3L4","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BTG3","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","BZW1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C11orf54","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C12orf65","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C14orf119","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C15orf41","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C16orf52","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C16orf70","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C17orf75","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C18orf32","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C1orf50","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C3orf38","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","C9orf40","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CADM2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CAPRIN2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CAPZA2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CAV1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CAVIN1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CBX1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CBX8","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CCDC137","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CCDC198","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CCDC30","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CCDC6","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CCDC71L","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CCL5","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CD28","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CDIPT","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CDKN2AIPNL","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CENPQ","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CEP104","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CEP72","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CERCAM","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CFL2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CHSY1","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CKAP2","enriched","1.13e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CLIC4","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CLIP4","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CNKSR3","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CNOT6L","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","COIL","enriched","1.13e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","COX19","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CREB1","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CRISPLD2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CRK","enriched","3.81e-4","0.0189655","0.0189655","8","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-126-3p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CSNK1A1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CXorf38","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","CYB5A","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DCBLD2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DEGS1","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DHODH","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DIS3L","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DNAJB13","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DNAJB6","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DNAJB9","enriched","7.95e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-363-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DNAJC10","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DPP9","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DPYSL2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DRAXIN","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","DSPP","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","E2F1","enriched","3.23e-4","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-126-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","EFCAB11","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","EGLN3","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","EIF2B2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","EIF2S1","enriched","0.0017805","0.0189655","0.0189655","9","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-222-3p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-130b-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","EIF4A2","enriched","0.0012324","0.0189655","0.0189655","6","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ELAVL2","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
"Target genes (miRTarBase)","ELOC","enriched","0.0017952","0.0189655","0.0189655","7","hsa-miR-20b-5p; hsa-miR-17-5p; hsa-miR-20a-5p; hsa-miR-106a-5p; hsa-miR-93-5p; hsa-miR-302c-3p; hsa-miR-106b-5p"
