"","total","expected","hits","Raw p","Holm p","FDR"
"Creatine pathway",18,0.177,5,5.55e-07,0.0018,2.52e-05
"Alanine, aspartate and glutamate metabolism",58,0.569,7,1.08e-06,0.0035,4.84e-05
"Metabolism of polyamines",21,0.206,5,1.29e-06,0.00418,5.7e-05
"Urea cycle",22,0.216,5,1.66e-06,0.00537,7.23e-05
"MECP2 and associated Rett syndrome",11,0.108,4,2.51e-06,0.00815,0.000108
"Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency)",44,0.432,6,3.3e-06,0.0107,0.000124
"Creatine deficiency, guanidinoacetate methyltransferase deficiency",44,0.432,6,3.3e-06,0.0107,0.000124
"Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency)",44,0.432,6,3.3e-06,0.0107,0.000124
"Hyperornithinemia with gyrate atrophy (HOGA)",44,0.432,6,3.3e-06,0.0107,0.000124
"Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome]",44,0.432,6,3.3e-06,0.0107,0.000124
"Hyperprolinemia Type I",44,0.432,6,3.3e-06,0.0107,0.000124
"Hyperprolinemia Type II",44,0.432,6,3.3e-06,0.0107,0.000124
"L-arginine:glycine amidinotransferase deficiency",44,0.432,6,3.3e-06,0.0107,0.000124
"Ornithine Aminotransferase Deficiency (OAT Deficiency)",44,0.432,6,3.3e-06,0.0107,0.000124
"Prolidase Deficiency (PD)",44,0.432,6,3.3e-06,0.0107,0.000124
"Prolinemia Type II",44,0.432,6,3.3e-06,0.0107,0.000124
"Defective SLC3A1 causes cystinuria (CSNU)",4,0.0392,3,3.49e-06,0.0113,0.000129
"Defective SLC7A9 causes cystinuria (CSNU)",4,0.0392,3,3.49e-06,0.0113,0.000129
"Protein repair",12,0.118,4,3.74e-06,0.0121,0.000136
"Methionine de novo and salvage pathway",48,0.471,6,5.57e-06,0.018,0.000201
"3-Phosphoglycerate dehydrogenase deficiency",49,0.481,6,6.3e-06,0.0203,0.000213
"Dihydropyrimidine Dehydrogenase Deficiency (DHPD)",49,0.481,6,6.3e-06,0.0203,0.000213
"Dimethylglycine Dehydrogenase Deficiency",49,0.481,6,6.3e-06,0.0203,0.000213
"Hyperglycinemia, non-ketotic",49,0.481,6,6.3e-06,0.0203,0.000213
"Non Ketotic Hyperglycinemia",49,0.481,6,6.3e-06,0.0203,0.000213
"Sarcosinemia",49,0.481,6,6.3e-06,0.0203,0.000213
"Sudden infant death syndrome (SIDS) susceptibility pathways",14,0.137,4,7.47e-06,0.024,0.00025
"Methionine Metabolism",51,0.5,6,8e-06,0.0257,0.000265
"Canavan Disease",30,0.294,5,8.46e-06,0.0272,0.000275
"Hypoacetylaspartia",30,0.294,5,8.46e-06,0.0272,0.000275
"Aspartate Metabolism",31,0.304,5,1e-05,0.0322,0.000322
"Creatine metabolism",15,0.147,4,1.01e-05,0.0325,0.000322
"Metabolism overview",116,1.14,8,1.25e-05,0.0401,0.000394
"GPCR downstream signalling",156,1.53,9,1.43e-05,0.0459,0.000444
"Signal Transduction",345,3.38,13,1.43e-05,0.0459,0.000444
"Ras activation upon Ca2+ influx through NMDA receptor",6,0.0589,3,1.72e-05,0.0552,0.000519
"Negative regulation of NMDA receptor-mediated neuronal transmission",6,0.0589,3,1.72e-05,0.0552,0.000519
"Long-term potentiation",6,0.0589,3,1.72e-05,0.0552,0.000519
"Amino acid metabolism pathway excerpt: histidine catabolism extension",17,0.167,4,1.74e-05,0.0557,0.000519
"Glutaminolysis and Cancer",35,0.343,5,1.86e-05,0.0596,0.00055
"Amine Oxidase reactions",18,0.177,4,2.22e-05,0.0711,0.000651
"Cystathionine Beta-Synthase Deficiency",37,0.363,5,2.46e-05,0.0788,0.00068
"Glycine N-methyltransferase Deficiency",37,0.363,5,2.46e-05,0.0788,0.00068
"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",37,0.363,5,2.46e-05,0.0788,0.00068
"Hypermethioninemia",37,0.363,5,2.46e-05,0.0788,0.00068
"Methionine Adenosyltransferase Deficiency",37,0.363,5,2.46e-05,0.0788,0.00068
"Methylenetetrahydrofolate Reductase Deficiency (MTHFRD)",37,0.363,5,2.46e-05,0.0788,0.00068
"S-Adenosylhomocysteine (SAH) Hydrolase Deficiency",37,0.363,5,2.46e-05,0.0788,0.00068
"Unblocking of NMDA receptors, glutamate binding and activation",7,0.0687,3,2.99e-05,0.0956,0.00082
"Cysteine and methionine catabolism",39,0.383,5,3.2e-05,0.102,0.000871
"Phenylalanine metabolism",20,0.196,4,3.46e-05,0.111,0.000933
"Alanine and aspartate metabolism",21,0.206,4,4.25e-05,0.136,0.00114
"Pyrimidine metabolism and related diseases",43,0.422,5,5.2e-05,0.166,0.00138
"Glutamate and glutamine metabolism",23,0.226,4,6.19e-05,0.198,0.00162
"Tryptophan catabolism leading to NAD+ production",23,0.226,4,6.19e-05,0.198,0.00162
"Nitric oxide metabolism in cystic fibrosis",9,0.0883,3,7.08e-05,0.226,0.00183
"Aspartate and asparagine metabolism",24,0.235,4,7.38e-05,0.235,0.00187
"NAD biosynthesis II (from tryptophan)",24,0.235,4,7.38e-05,0.235,0.00187
"Serine metabolism",24,0.235,4,7.38e-05,0.235,0.00187
"Transmission across Chemical Synapses",77,0.755,6,8.72e-05,0.278,0.00213
"Neuronal System",77,0.755,6,8.72e-05,0.278,0.00213
"Metabolism of nitric oxide: NOS3 activation and regulation",25,0.245,4,8.72e-05,0.278,0.00213
"eNOS activation",25,0.245,4,8.72e-05,0.278,0.00213
"Neurotransmitter receptors and postsynaptic signal transmission",25,0.245,4,8.72e-05,0.278,0.00213
"Protein-protein interactions at synapses",2,0.0196,2,9.4e-05,0.299,0.00224
"Synaptic adhesion-like molecules",2,0.0196,2,9.4e-05,0.299,0.00224
"SALM protein interactions at the synapse",2,0.0196,2,9.4e-05,0.299,0.00224
"Carboxyterminal post-translational modifications of tubulin",10,0.0981,3,1e-04,0.319,0.00236
"CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling",10,0.0981,3,1e-04,0.319,0.00236
"Neuroinflammation and glutamatergic signaling",26,0.255,4,0.000102,0.325,0.00239
"Organic cation transport",27,0.265,4,0.000119,0.379,0.00275
"Extra-nuclear estrogen signaling",27,0.265,4,0.000119,0.379,0.00275
"Miscellaneous transport and binding events",11,0.108,3,0.000137,0.435,0.00312
"PAOs oxidise polyamines to amines",11,0.108,3,0.000137,0.435,0.00312
"22q11.2 copy number variation syndrome",28,0.275,4,0.000138,0.438,0.00312
"Tryptophan metabolism",53,0.52,5,0.000144,0.457,0.00321
"G alpha (q) signaling events",53,0.52,5,0.000144,0.457,0.00321
"GPCR ligand binding",211,2.07,9,0.000156,0.493,0.00344
"Disorders of folate metabolism and transport",29,0.285,4,0.000159,0.504,0.0035
"Peptide hormone metabolism",56,0.549,5,0.000188,0.595,0.0041
"Class C/3 (Metabotropic glutamate/pheromone receptors)",57,0.559,5,0.000205,0.647,0.00443
"Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine",31,0.304,4,0.000208,0.658,0.00448
"Post NMDA receptor activation events",13,0.128,3,0.000235,0.742,0.00492
"Interconversion of polyamines",13,0.128,3,0.000235,0.742,0.00492
"Glycine metabolism",13,0.128,3,0.000235,0.742,0.00492
"Pleural mesothelioma",13,0.128,3,0.000235,0.742,0.00492
"ESR-mediated signaling",33,0.324,4,0.000267,0.842,0.00556
"Defective SLC7A7 causes lysinuric protein intolerance (LPI)",3,0.0294,2,0.00028,0.885,0.00577
"Serotonin transporter activity",3,0.0294,2,0.00028,0.885,0.00577
"Trans-sulfuration pathway",14,0.137,3,0.000297,0.936,0.00607
"Organic cation/anion/zwitterion transport",34,0.334,4,3e-04,0.946,0.0061
"Signaling by GPCR",236,2.32,9,0.000363,1,0.00722
"Lactic Acidemia",15,0.147,3,0.000368,1,0.00722
"Primary Hyperoxaluria Type I",15,0.147,3,0.000368,1,0.00722
"Pyruvate Carboxylase Deficiency",15,0.147,3,0.000368,1,0.00722
"NO/cGMP/PKG mediated neuroprotection",15,0.147,3,0.000368,1,0.00722
"Glyoxylate metabolism",15,0.147,3,0.000368,1,0.00722
"Metabolism of amine-derived hormones",36,0.353,4,0.000376,1,0.00733
"Metabolism of vitamins and cofactors",189,1.85,8,0.000403,1,0.00781
"Branched-chain amino acid catabolism",37,0.363,4,0.000418,1,0.00806
"VEGFR2 mediated vascular permeability",16,0.157,3,0.00045,1,0.00863
"Glyoxylate metabolism and glycine degradation",38,0.373,4,0.000464,1,0.00879
"Metabolic reprogramming in colon cancer",38,0.373,4,0.000464,1,0.00879
"2-Hydroxyglutric Aciduria (D And L Form)",39,0.383,4,0.000513,1,0.00941
"4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency",39,0.383,4,0.000513,1,0.00941
"Glutamate Metabolism",39,0.383,4,0.000513,1,0.00941
"Homocarnosinosis",39,0.383,4,0.000513,1,0.00941
"Hyperinsulinism-Hyperammonemia Syndrome",39,0.383,4,0.000513,1,0.00941
"Succinic semialdehyde dehydrogenase deficiency",39,0.383,4,0.000513,1,0.00941
"Glutathione metabolism",17,0.167,3,0.000543,1,0.00968
"5-oxoprolinase deficiency",17,0.167,3,0.000543,1,0.00968
"Gamma-glutamyl-transpeptidase deficiency",17,0.167,3,0.000543,1,0.00968
"Gamma-Glutamyltransferase Deficiency",17,0.167,3,0.000543,1,0.00968
"Glutathione Synthetase Deficiency",17,0.167,3,0.000543,1,0.00968
"Proton-coupled neutral amino acid transporters",4,0.0392,2,0.000557,1,0.00982
"Alanine metabolism",4,0.0392,2,0.000557,1,0.00982
"Developmental Biology",40,0.392,4,0.000566,1,0.00994
"Activation of NMDA receptors and postsynaptic events",18,0.177,3,0.000647,1,0.0113
"Axon guidance",20,0.196,3,0.000892,1,0.0153
"Nervous system development",20,0.196,3,0.000892,1,0.0153
"Sarcosine Oncometabolite Pathway",20,0.196,3,0.000892,1,0.0153
"Defective SLC1A3 causes episodic ataxia 6 (EA6)",5,0.0491,2,0.000922,1,0.0157
"Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)",5,0.0491,2,0.000922,1,0.0157
"Neurotransmitter release cycle",46,0.451,4,0.000969,1,0.0162
"RAF/MAP kinase cascade",46,0.451,4,0.000969,1,0.0162
"MAPK family signaling cascades",46,0.451,4,0.000969,1,0.0162
"MAPK1/MAPK3 signaling",46,0.451,4,0.000969,1,0.0162
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",21,0.206,3,0.00103,1,0.017
"Incretin synthesis, secretion, and inactivation",21,0.206,3,0.00103,1,0.017
"Ethanol effects on histone modifications",21,0.206,3,0.00103,1,0.017
"Signaling by Nuclear Receptors",50,0.491,4,0.00133,1,0.0209
"Free fatty acid receptors",23,0.226,3,0.00136,1,0.0209
"Neurotransmitter disorders",23,0.226,3,0.00136,1,0.0209
"Methionine metabolism leading to sulfur amino acids and related disorders",23,0.226,3,0.00136,1,0.0209
"Agmatine biosynthesis",6,0.0589,2,0.00137,1,0.0209
"Amino acids regulate mTORC1",6,0.0589,2,0.00137,1,0.0209
"Valine, leucine and isoleucine degradation",51,0.5,4,0.00143,1,0.0209
"Metabolic disorders of biological oxidation enzymes",51,0.5,4,0.00143,1,0.0209
"2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency",51,0.5,4,0.00143,1,0.0209
"3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency",51,0.5,4,0.00143,1,0.0209
"3-hydroxyisobutyric acid dehydrogenase deficiency",51,0.5,4,0.00143,1,0.0209
"3-hydroxyisobutyric aciduria",51,0.5,4,0.00143,1,0.0209
"3-Methylcrotonyl Coa Carboxylase Deficiency Type I",51,0.5,4,0.00143,1,0.0209
"3-Methylglutaconic Aciduria Type I",51,0.5,4,0.00143,1,0.0209
"3-Methylglutaconic Aciduria Type III",51,0.5,4,0.00143,1,0.0209
"3-Methylglutaconic Aciduria Type IV",51,0.5,4,0.00143,1,0.0209
"Beta-Ketothiolase Deficiency",51,0.5,4,0.00143,1,0.0209
"Isobutyryl-coa dehydrogenase deficiency",51,0.5,4,0.00143,1,0.0209
"Isovaleric acidemia",51,0.5,4,0.00143,1,0.0209
"Isovaleric Aciduria",51,0.5,4,0.00143,1,0.0209
"Maple Syrup Urine Disease",51,0.5,4,0.00143,1,0.0209
"Methylmalonate Semialdehyde Dehydrogenase Deficiency",51,0.5,4,0.00143,1,0.0209
"Methylmalonic Aciduria",51,0.5,4,0.00143,1,0.0209
"Propionic Acidemia",51,0.5,4,0.00143,1,0.0209
"Metabolism of water-soluble vitamins and cofactors",129,1.27,6,0.00143,1,0.0209
"Metabolism of folate and pterines",24,0.235,3,0.00154,1,0.0222
"Tyrosinemia Type 2 (or Richner-Hanhart syndrome)",24,0.235,3,0.00154,1,0.0222
"Tyrosinemia Type 3 (TYRO3)",24,0.235,3,0.00154,1,0.0222
"One-carbon metabolism",25,0.245,3,0.00174,1,0.0247
"Metabolic pathways of fibroblasts",25,0.245,3,0.00174,1,0.0247
"Cerebral organic acidurias, including diseases",25,0.245,3,0.00174,1,0.0247
"Insulin processing",7,0.0687,2,0.00191,1,0.0267
"LTC4-CYSLTR mediated IL4 production",7,0.0687,2,0.00191,1,0.0267
"Malate-Aspartate Shuttle",7,0.0687,2,0.00191,1,0.0267
"Effects of nitric oxide",7,0.0687,2,0.00191,1,0.0267
"Synaptic vesicle pathway",7,0.0687,2,0.00191,1,0.0267
"Omega-9 fatty acid synthesis",27,0.265,3,0.00218,1,0.0303
"beta-Alanine metabolism",28,0.275,3,0.00243,1,0.0327
"Phenylalanine and Tyrosine Metabolism",28,0.275,3,0.00243,1,0.0327
"Signaling by VEGF",28,0.275,3,0.00243,1,0.0327
"VEGFA-VEGFR2 Pathway",28,0.275,3,0.00243,1,0.0327
"Carnosinuria, carnosinemia",28,0.275,3,0.00243,1,0.0327
"GABA-Transaminase Deficiency",28,0.275,3,0.00243,1,0.0327
"Ureidopropionase Deficiency",28,0.275,3,0.00243,1,0.0327
"Glucose-Alanine Cycle",8,0.0785,2,0.00253,1,0.0338
"Major receptors targeted by epinephrine and norepinephrine",8,0.0785,2,0.00253,1,0.0338
"Physico-chemical features and toxicity-associated pathways",8,0.0785,2,0.00253,1,0.0338
"Folate metabolism",61,0.598,4,0.00279,1,0.037
"Biological oxidations",317,3.11,9,0.003,1,0.0396
"Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)",9,0.0883,2,0.00324,1,0.0423
"Biosynthesis of maresin conjugates in tissue regeneration (MCTR)",9,0.0883,2,0.00324,1,0.0423
"Carnosine metabolism of glial cells",9,0.0883,2,0.00324,1,0.0423
"Sulfur amino acid metabolism",65,0.638,4,0.00351,1,0.0457
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",33,0.324,3,0.0039,1,0.0505
"Leucine, isoleucine and valine metabolism",67,0.657,4,0.00392,1,0.0505
"D-Arginine and D-Ornithine Metabolism",10,0.0981,2,0.00402,1,0.0505
"Transport of fatty acids",10,0.0981,2,0.00402,1,0.0505
"EPH-Ephrin signaling",10,0.0981,2,0.00402,1,0.0505
"EPHB-mediated forward signaling",10,0.0981,2,0.00402,1,0.0505
"Cellular response to starvation",10,0.0981,2,0.00402,1,0.0505
"Amyotrophic lateral sclerosis (ALS)",10,0.0981,2,0.00402,1,0.0505
"Neuroinflammation",10,0.0981,2,0.00402,1,0.0505
"Fatty Acid Biosynthesis",34,0.334,3,0.00425,1,0.0532
"Fabry disease",35,0.343,3,0.00462,1,0.0568
"Gaucher Disease",35,0.343,3,0.00462,1,0.0568
"Globoid Cell Leukodystrophy",35,0.343,3,0.00462,1,0.0568
"Krabbe disease",35,0.343,3,0.00462,1,0.0568
"Metachromatic Leukodystrophy (MLD)",35,0.343,3,0.00462,1,0.0568
"Glycerophospholipid catabolism",11,0.108,2,0.00489,1,0.0596
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases",11,0.108,2,0.00489,1,0.0596
"Purine ribonucleoside monophosphate biosynthesis",36,0.353,3,0.00501,1,0.0606
"Sphingolipid de novo biosynthesis",36,0.353,3,0.00501,1,0.0606
"Degradation of cysteine and homocysteine",37,0.363,3,0.00541,1,0.0653
"Threonine catabolism",13,0.128,2,0.00684,1,0.0819
"Glutathione synthesis and recycling",13,0.128,2,0.00684,1,0.0819
"Serine biosynthesis",14,0.137,2,0.00794,1,0.0933
"Tyrosine catabolism",14,0.137,2,0.00794,1,0.0933
"Endothelin pathways",14,0.137,2,0.00794,1,0.0933
"Monoamine transport",14,0.137,2,0.00794,1,0.0933
"Sphingolipid metabolism in senescence",14,0.137,2,0.00794,1,0.0933
"Thyroxine biosynthesis",15,0.147,2,0.0091,1,0.104
"Choline catabolism",15,0.147,2,0.0091,1,0.104
"Serotonin and melatonin biosynthesis",15,0.147,2,0.0091,1,0.104
"5-Oxoprolinuria",15,0.147,2,0.0091,1,0.104
"Biotin metabolism, including IMDs",15,0.147,2,0.0091,1,0.104
"Linoleic acid metabolism affected by SARS-CoV-2",15,0.147,2,0.0091,1,0.104
"NAD+ biosynthetic pathways",15,0.147,2,0.0091,1,0.104
"Phase I - Functionalization of compounds",189,1.85,6,0.00952,1,0.109
"Nucleobase biosynthesis",46,0.451,3,0.00995,1,0.113
"Nucleotide biosynthesis",47,0.461,3,0.0106,1,0.12
"Nitric oxide stimulates guanylate cyclase",17,0.167,2,0.0116,1,0.131
"Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)",17,0.167,2,0.0116,1,0.131
"Molybdenum cofactor biosynthesis",18,0.177,2,0.013,1,0.146
"Starch and sucrose metabolism",52,0.51,3,0.0139,1,0.156
"Amino acid metabolism in triple-negative breast cancer cells",19,0.186,2,0.0145,1,0.16
"Vitamin B6-dependent and responsive disorders",19,0.186,2,0.0145,1,0.16
"7q11.23 copy number variation syndrome",19,0.186,2,0.0145,1,0.16
"Beta-oxidation of pristanoyl-CoA",20,0.196,2,0.016,1,0.176
"Recycling of bile acids and salts",20,0.196,2,0.016,1,0.176
"Vitamin B12 metabolism",55,0.54,3,0.0162,1,0.178
"Biosynthesis of DHA-derived sulfido conjugates",21,0.206,2,0.0175,1,0.192
"27-Hydroxylase Deficiency",58,0.569,3,0.0186,1,0.199
"Cerebrotendinous Xanthomatosis (CTX)",58,0.569,3,0.0186,1,0.199
"Congenital Bile Acid Synthesis Defect Type II",58,0.569,3,0.0186,1,0.199
"Congenital Bile Acid Synthesis Defect Type III",58,0.569,3,0.0186,1,0.199
"Familial Hypercholanemia (FHCA)",58,0.569,3,0.0186,1,0.199
"Zellweger Syndrome",58,0.569,3,0.0186,1,0.199
"Purine metabolism and related disorders",58,0.569,3,0.0186,1,0.199
"Histidine catabolism",22,0.216,2,0.0192,1,0.199
"Pyrimidine biosynthesis",22,0.216,2,0.0192,1,0.199
"2-aminoadipic 2-oxoadipic aciduria",22,0.216,2,0.0192,1,0.199
"Hyperlysinemia I, Familial",22,0.216,2,0.0192,1,0.199
"Hyperlysinemia II or Saccharopinuria",22,0.216,2,0.0192,1,0.199
"Pyridoxine dependency with seizures",22,0.216,2,0.0192,1,0.199
"Saccharopinuria/Hyperlysinemia II",22,0.216,2,0.0192,1,0.199
"MTHFR deficiency",22,0.216,2,0.0192,1,0.199
"Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway",22,0.216,2,0.0192,1,0.199
"Selenium micronutrient network",106,1.04,4,0.0193,1,0.199
"Primary bile acid biosynthesis",59,0.579,3,0.0195,1,0.199
"Presynaptic function of Kainate receptors",2,0.0196,1,0.0195,1,0.199
"Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)",2,0.0196,1,0.0195,1,0.199
"Serotonin receptor 4/6/7 and NR3C signaling",2,0.0196,1,0.0195,1,0.199
"Serotonin and anxiety-related events",2,0.0196,1,0.0195,1,0.199
"Diseases of metabolism",162,1.59,5,0.02,1,0.204
"Alkaptonuria",60,0.589,3,0.0204,1,0.204
"Dopamine beta-hydroxylase deficiency",60,0.589,3,0.0204,1,0.204
"Hawkinsinuria",60,0.589,3,0.0204,1,0.204
"Monoamine oxidase-a deficiency (MAO-A)",60,0.589,3,0.0204,1,0.204
"Tyrosinemia Type I",60,0.589,3,0.0204,1,0.204
"Tyrosinemia, transient, of the newborn",60,0.589,3,0.0204,1,0.204
"Selenocompound metabolism",23,0.226,2,0.0209,1,0.207
"Krebs cycle disorders",23,0.226,2,0.0209,1,0.207
"Synthesis of ceramides and 1-deoxyceramides",23,0.226,2,0.0209,1,0.207
"Transport of vitamins, nucleosides, and related molecules",62,0.608,3,0.0222,1,0.219
"Signaling by Receptor Tyrosine Kinases",62,0.608,3,0.0222,1,0.219
"Lysine degradation",24,0.235,2,0.0226,1,0.219
"Anti-inflammatory response favouring Leishmania parasite infection",24,0.235,2,0.0226,1,0.219
"Leishmania parasite growth and survival",24,0.235,2,0.0226,1,0.219
"Oxidation of Branched Chain Fatty Acids",24,0.235,2,0.0226,1,0.219
"Tyrosine metabolism and related disorders",24,0.235,2,0.0226,1,0.219
"Sphingolipid pathway",24,0.235,2,0.0226,1,0.219
"Post-translational protein modification",169,1.66,5,0.0236,1,0.227
"Sphingolipid metabolism",64,0.628,3,0.0242,1,0.232
"PI Metabolism",25,0.245,2,0.0244,1,0.234
"Proximal tubule transport",25,0.245,2,0.0244,1,0.234
