"","total","expected","hits","Raw p","Holm p","FDR"
"Synaptic adhesion-like molecules",2,0.0206,2,0.000103,0.329,0.00254
"SALM protein interactions at the synapse",2,0.0206,2,0.000103,0.329,0.00254
"Metabolism of nitric oxide: NOS3 activation and regulation",25,0.257,4,0.000105,0.334,0.00254
"eNOS activation",25,0.257,4,0.000105,0.334,0.00254
"Neurotransmitter receptors and postsynaptic signal transmission",25,0.257,4,0.000105,0.334,0.00254
"Transmission across Chemical Synapses",77,0.791,6,0.000114,0.363,0.00272
"Neuronal System",77,0.791,6,0.000114,0.363,0.00272
"Carboxyterminal post-translational modifications of tubulin",10,0.103,3,0.000116,0.367,0.00272
"CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling",10,0.103,3,0.000116,0.367,0.00272
"Neuroinflammation and glutamatergic signaling",26,0.267,4,0.000123,0.391,0.00288
"Organic cation transport",27,0.278,4,0.000143,0.455,0.0033
"Extra-nuclear estrogen signaling",27,0.278,4,0.000143,0.455,0.0033
"Miscellaneous transport and binding events",11,0.113,3,0.000158,0.501,0.00359
"PAOs oxidise polyamines to amines",11,0.113,3,0.000158,0.501,0.00359
"22q11.2 copy number variation syndrome",28,0.288,4,0.000166,0.527,0.00375
"Tryptophan metabolism",53,0.545,5,0.000181,0.573,0.00402
"G alpha (q) signaling events",53,0.545,5,0.000181,0.573,0.00402
"Disorders of folate metabolism and transport",29,0.298,4,0.000191,0.606,0.00423
"GPCR ligand binding",211,2.17,9,0.000227,0.719,0.00498
"Peptide hormone metabolism",56,0.576,5,0.000235,0.744,0.00513
"Biosynthesis and regeneration of tetrahydrobiopterin and catabolism of phenylalanine",31,0.319,4,0.00025,0.79,0.00541
"Class C/3 (Metabotropic glutamate/pheromone receptors)",57,0.586,5,0.000256,0.809,0.00551
"Post NMDA receptor activation events",13,0.134,3,0.00027,0.853,0.00566
"Interconversion of polyamines",13,0.134,3,0.00027,0.853,0.00566
"Glycine metabolism",13,0.134,3,0.00027,0.853,0.00566
"Pleural mesothelioma",13,0.134,3,0.00027,0.853,0.00566
"Defective SLC7A7 causes lysinuric protein intolerance (LPI)",3,0.0308,2,0.000308,0.972,0.00638
"Serotonin transporter activity",3,0.0308,2,0.000308,0.972,0.00638
"ESR-mediated signaling",33,0.339,4,0.00032,1,0.00659
"Trans-sulfuration pathway",14,0.144,3,0.000341,1,0.00698
"Organic cation/anion/zwitterion transport",34,0.349,4,0.00036,1,0.00727
"Fatty Acid Biosynthesis",34,0.349,4,0.00036,1,0.00727
"Lactic Acidemia",15,0.154,3,0.000423,1,0.0083
"Primary Hyperoxaluria Type I",15,0.154,3,0.000423,1,0.0083
"Pyruvate Carboxylase Deficiency",15,0.154,3,0.000423,1,0.0083
"NO/cGMP/PKG mediated neuroprotection",15,0.154,3,0.000423,1,0.0083
"Glyoxylate metabolism",15,0.154,3,0.000423,1,0.0083
"Metabolism of amine-derived hormones",36,0.37,4,0.00045,1,0.00878
"Branched-chain amino acid catabolism",37,0.38,4,0.000501,1,0.00971
"VEGFR2 mediated vascular permeability",16,0.164,3,0.000517,1,0.00996
"Signaling by GPCR",236,2.43,9,0.000524,1,0.01
"Glyoxylate metabolism and glycine degradation",38,0.391,4,0.000556,1,0.0105
"Metabolic reprogramming in colon cancer",38,0.391,4,0.000556,1,0.0105
"Metabolism of vitamins and cofactors",189,1.94,8,0.000561,1,0.0106
"Proton-coupled neutral amino acid transporters",4,0.0411,2,0.000611,1,0.0109
"Alanine metabolism",4,0.0411,2,0.000611,1,0.0109
"2-Hydroxyglutric Aciduria (D And L Form)",39,0.401,4,0.000615,1,0.0109
"4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency",39,0.401,4,0.000615,1,0.0109
"Glutamate Metabolism",39,0.401,4,0.000615,1,0.0109
"Homocarnosinosis",39,0.401,4,0.000615,1,0.0109
"Hyperinsulinism-Hyperammonemia Syndrome",39,0.401,4,0.000615,1,0.0109
"Succinic semialdehyde dehydrogenase deficiency",39,0.401,4,0.000615,1,0.0109
"Glutathione metabolism",17,0.175,3,0.000623,1,0.0109
"5-oxoprolinase deficiency",17,0.175,3,0.000623,1,0.0109
"Gamma-glutamyl-transpeptidase deficiency",17,0.175,3,0.000623,1,0.0109
"Gamma-Glutamyltransferase Deficiency",17,0.175,3,0.000623,1,0.0109
"Glutathione Synthetase Deficiency",17,0.175,3,0.000623,1,0.0109
"Developmental Biology",40,0.411,4,0.000678,1,0.0118
"Activation of NMDA receptors and postsynaptic events",18,0.185,3,0.000742,1,0.0129
"Defective SLC1A3 causes episodic ataxia 6 (EA6)",5,0.0514,2,0.00101,1,0.0173
"Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)",5,0.0514,2,0.00101,1,0.0173
"Axon guidance",20,0.206,3,0.00102,1,0.0173
"Nervous system development",20,0.206,3,0.00102,1,0.0173
"Sarcosine Oncometabolite Pathway",20,0.206,3,0.00102,1,0.0173
"Neurotransmitter release cycle",46,0.473,4,0.00116,1,0.0192
"RAF/MAP kinase cascade",46,0.473,4,0.00116,1,0.0192
"MAPK family signaling cascades",46,0.473,4,0.00116,1,0.0192
"MAPK1/MAPK3 signaling",46,0.473,4,0.00116,1,0.0192
"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1)",21,0.216,3,0.00118,1,0.0193
"Incretin synthesis, secretion, and inactivation",21,0.216,3,0.00118,1,0.0193
"Ethanol effects on histone modifications",21,0.216,3,0.00118,1,0.0193
"Agmatine biosynthesis",6,0.0617,2,0.00151,1,0.0244
"Amino acids regulate mTORC1",6,0.0617,2,0.00151,1,0.0244
"Free fatty acid receptors",23,0.236,3,0.00155,1,0.0248
"Neurotransmitter disorders",23,0.236,3,0.00155,1,0.0248
"Methionine metabolism leading to sulfur amino acids and related disorders",23,0.236,3,0.00155,1,0.0248
"Signaling by Nuclear Receptors",50,0.514,4,0.00159,1,0.0249
"Valine, leucine and isoleucine degradation",51,0.524,4,0.00171,1,0.0249
"Metabolic disorders of biological oxidation enzymes",51,0.524,4,0.00171,1,0.0249
"2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency",51,0.524,4,0.00171,1,0.0249
"3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency",51,0.524,4,0.00171,1,0.0249
"3-hydroxyisobutyric acid dehydrogenase deficiency",51,0.524,4,0.00171,1,0.0249
"3-hydroxyisobutyric aciduria",51,0.524,4,0.00171,1,0.0249
"3-Methylcrotonyl Coa Carboxylase Deficiency Type I",51,0.524,4,0.00171,1,0.0249
"3-Methylglutaconic Aciduria Type I",51,0.524,4,0.00171,1,0.0249
"3-Methylglutaconic Aciduria Type III",51,0.524,4,0.00171,1,0.0249
"3-Methylglutaconic Aciduria Type IV",51,0.524,4,0.00171,1,0.0249
"Beta-Ketothiolase Deficiency",51,0.524,4,0.00171,1,0.0249
"Isobutyryl-coa dehydrogenase deficiency",51,0.524,4,0.00171,1,0.0249
"Isovaleric acidemia",51,0.524,4,0.00171,1,0.0249
"Isovaleric Aciduria",51,0.524,4,0.00171,1,0.0249
"Maple Syrup Urine Disease",51,0.524,4,0.00171,1,0.0249
"Methylmalonate Semialdehyde Dehydrogenase Deficiency",51,0.524,4,0.00171,1,0.0249
"Methylmalonic Aciduria",51,0.524,4,0.00171,1,0.0249
"Propionic Acidemia",51,0.524,4,0.00171,1,0.0249
"Metabolism of folate and pterines",24,0.247,3,0.00176,1,0.0254
"Tyrosinemia Type 2 (or Richner-Hanhart syndrome)",24,0.247,3,0.00176,1,0.0254
"Tyrosinemia Type 3 (TYRO3)",24,0.247,3,0.00176,1,0.0254
"Metabolism of water-soluble vitamins and cofactors",129,1.33,6,0.00184,1,0.0264
"One-carbon metabolism",25,0.257,3,0.00199,1,0.0282
"Metabolic pathways of fibroblasts",25,0.257,3,0.00199,1,0.0282
"Cerebral organic acidurias, including diseases",25,0.257,3,0.00199,1,0.0282
"Insulin processing",7,0.0719,2,0.0021,1,0.0291
"LTC4-CYSLTR mediated IL4 production",7,0.0719,2,0.0021,1,0.0291
"Malate-Aspartate Shuttle",7,0.0719,2,0.0021,1,0.0291
"Effects of nitric oxide",7,0.0719,2,0.0021,1,0.0291
"Synaptic vesicle pathway",7,0.0719,2,0.0021,1,0.0291
"Omega-9 fatty acid synthesis",27,0.278,3,0.00249,1,0.0345
"beta-Alanine metabolism",28,0.288,3,0.00277,1,0.0369
"Phenylalanine and Tyrosine Metabolism",28,0.288,3,0.00277,1,0.0369
"Signaling by VEGF",28,0.288,3,0.00277,1,0.0369
"VEGFA-VEGFR2 Pathway",28,0.288,3,0.00277,1,0.0369
"Carnosinuria, carnosinemia",28,0.288,3,0.00277,1,0.0369
"GABA-Transaminase Deficiency",28,0.288,3,0.00277,1,0.0369
"Ureidopropionase Deficiency",28,0.288,3,0.00277,1,0.0369
"Glucose-Alanine Cycle",8,0.0822,2,0.00278,1,0.0369
"Major receptors targeted by epinephrine and norepinephrine",8,0.0822,2,0.00278,1,0.0369
"Physico-chemical features and toxicity-associated pathways",8,0.0822,2,0.00278,1,0.0369
"Folate metabolism",61,0.627,4,0.00331,1,0.0437
"Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)",9,0.0925,2,0.00355,1,0.0464
"Biosynthesis of maresin conjugates in tissue regeneration (MCTR)",9,0.0925,2,0.00355,1,0.0464
"Carnosine metabolism of glial cells",9,0.0925,2,0.00355,1,0.0464
"Sulfur amino acid metabolism",65,0.668,4,0.00417,1,0.0541
"Biological oxidations",317,3.26,9,0.00418,1,0.0541
"D-Arginine and D-Ornithine Metabolism",10,0.103,2,0.00441,1,0.0556
"Transport of fatty acids",10,0.103,2,0.00441,1,0.0556
"EPH-Ephrin signaling",10,0.103,2,0.00441,1,0.0556
"EPHB-mediated forward signaling",10,0.103,2,0.00441,1,0.0556
"Cellular response to starvation",10,0.103,2,0.00441,1,0.0556
"Amyotrophic lateral sclerosis (ALS)",10,0.103,2,0.00441,1,0.0556
"Neuroinflammation",10,0.103,2,0.00441,1,0.0556
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",33,0.339,3,0.00446,1,0.056
"Leucine, isoleucine and valine metabolism",67,0.689,4,0.00465,1,0.0582
"Fabry disease",35,0.36,3,0.00527,1,0.0647
"Gaucher Disease",35,0.36,3,0.00527,1,0.0647
"Globoid Cell Leukodystrophy",35,0.36,3,0.00527,1,0.0647
"Krabbe disease",35,0.36,3,0.00527,1,0.0647
"Metachromatic Leukodystrophy (MLD)",35,0.36,3,0.00527,1,0.0647
"Glycerophospholipid catabolism",11,0.113,2,0.00535,1,0.0653
"Gamma-glutamyl cycle for the biosynthesis and degradation of glutathione, including diseases",11,0.113,2,0.00535,1,0.0653
"Purine ribonucleoside monophosphate biosynthesis",36,0.37,3,0.00571,1,0.0691
"Sphingolipid de novo biosynthesis",36,0.37,3,0.00571,1,0.0691
"Degradation of cysteine and homocysteine",37,0.38,3,0.00617,1,0.0744
"Threonine catabolism",13,0.134,2,0.00749,1,0.0897
"Glutathione synthesis and recycling",13,0.134,2,0.00749,1,0.0897
"Serine biosynthesis",14,0.144,2,0.00869,1,0.102
"Tyrosine catabolism",14,0.144,2,0.00869,1,0.102
"Endothelin pathways",14,0.144,2,0.00869,1,0.102
"Monoamine transport",14,0.144,2,0.00869,1,0.102
"Sphingolipid metabolism in senescence",14,0.144,2,0.00869,1,0.102
"Thyroxine biosynthesis",15,0.154,2,0.00996,1,0.114
"Choline catabolism",15,0.154,2,0.00996,1,0.114
"Serotonin and melatonin biosynthesis",15,0.154,2,0.00996,1,0.114
"5-Oxoprolinuria",15,0.154,2,0.00996,1,0.114
"Biotin metabolism, including IMDs",15,0.154,2,0.00996,1,0.114
"Linoleic acid metabolism affected by SARS-CoV-2",15,0.154,2,0.00996,1,0.114
"NAD+ biosynthetic pathways",15,0.154,2,0.00996,1,0.114
"Nucleobase biosynthesis",46,0.473,3,0.0113,1,0.129
"Phase I - Functionalization of compounds",189,1.94,6,0.0119,1,0.136
"Nucleotide biosynthesis",47,0.483,3,0.012,1,0.136
"Nitric oxide stimulates guanylate cyclase",17,0.175,2,0.0127,1,0.144
"Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)",17,0.175,2,0.0127,1,0.144
"Molybdenum cofactor biosynthesis",18,0.185,2,0.0142,1,0.16
"Starch and sucrose metabolism",52,0.534,3,0.0158,1,0.175
"Amino acid metabolism in triple-negative breast cancer cells",19,0.195,2,0.0158,1,0.175
"Vitamin B6-dependent and responsive disorders",19,0.195,2,0.0158,1,0.175
"7q11.23 copy number variation syndrome",19,0.195,2,0.0158,1,0.175
"Beta-oxidation of pristanoyl-CoA",20,0.206,2,0.0174,1,0.192
"Recycling of bile acids and salts",20,0.206,2,0.0174,1,0.192
"Vitamin B12 metabolism",55,0.565,3,0.0183,1,0.201
"Biosynthesis of DHA-derived sulfido conjugates",21,0.216,2,0.0192,1,0.21
"Presynaptic function of Kainate receptors",2,0.0206,1,0.0205,1,0.217
"Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)",2,0.0206,1,0.0205,1,0.217
"Serotonin receptor 4/6/7 and NR3C signaling",2,0.0206,1,0.0205,1,0.217
"Serotonin and anxiety-related events",2,0.0206,1,0.0205,1,0.217
"Histidine catabolism",22,0.226,2,0.0209,1,0.217
"Pyrimidine biosynthesis",22,0.226,2,0.0209,1,0.217
"2-aminoadipic 2-oxoadipic aciduria",22,0.226,2,0.0209,1,0.217
"Hyperlysinemia I, Familial",22,0.226,2,0.0209,1,0.217
"Hyperlysinemia II or Saccharopinuria",22,0.226,2,0.0209,1,0.217
"Pyridoxine dependency with seizures",22,0.226,2,0.0209,1,0.217
"Saccharopinuria/Hyperlysinemia II",22,0.226,2,0.0209,1,0.217
"MTHFR deficiency",22,0.226,2,0.0209,1,0.217
"Neurodegeneration with brain iron accumulation (NBIA) subtypes pathway",22,0.226,2,0.0209,1,0.217
"27-Hydroxylase Deficiency",58,0.596,3,0.0211,1,0.217
"Cerebrotendinous Xanthomatosis (CTX)",58,0.596,3,0.0211,1,0.217
"Congenital Bile Acid Synthesis Defect Type II",58,0.596,3,0.0211,1,0.217
"Congenital Bile Acid Synthesis Defect Type III",58,0.596,3,0.0211,1,0.217
"Familial Hypercholanemia (FHCA)",58,0.596,3,0.0211,1,0.217
"Zellweger Syndrome",58,0.596,3,0.0211,1,0.217
"Purine metabolism and related disorders",58,0.596,3,0.0211,1,0.217
"Primary bile acid biosynthesis",59,0.606,3,0.0221,1,0.226
"Selenium micronutrient network",106,1.09,4,0.0226,1,0.229
"Selenocompound metabolism",23,0.236,2,0.0228,1,0.229
"Krebs cycle disorders",23,0.236,2,0.0228,1,0.229
"Synthesis of ceramides and 1-deoxyceramides",23,0.236,2,0.0228,1,0.229
"Alkaptonuria",60,0.617,3,0.0231,1,0.229
"Dopamine beta-hydroxylase deficiency",60,0.617,3,0.0231,1,0.229
"Hawkinsinuria",60,0.617,3,0.0231,1,0.229
"Monoamine oxidase-a deficiency (MAO-A)",60,0.617,3,0.0231,1,0.229
"Tyrosinemia Type I",60,0.617,3,0.0231,1,0.229
"Tyrosinemia, transient, of the newborn",60,0.617,3,0.0231,1,0.229
"Diseases of metabolism",162,1.67,5,0.0241,1,0.238
"Lysine degradation",24,0.247,2,0.0247,1,0.24
"Anti-inflammatory response favouring Leishmania parasite infection",24,0.247,2,0.0247,1,0.24
"Leishmania parasite growth and survival",24,0.247,2,0.0247,1,0.24
"Oxidation of Branched Chain Fatty Acids",24,0.247,2,0.0247,1,0.24
"Tyrosine metabolism and related disorders",24,0.247,2,0.0247,1,0.24
"Sphingolipid pathway",24,0.247,2,0.0247,1,0.24
"Transport of vitamins, nucleosides, and related molecules",62,0.637,3,0.0251,1,0.243
"Signaling by Receptor Tyrosine Kinases",62,0.637,3,0.0251,1,0.243
"PI Metabolism",25,0.257,2,0.0267,1,0.256
"Proximal tubule transport",25,0.257,2,0.0267,1,0.256
"Sphingolipid metabolism",64,0.658,3,0.0273,1,0.262
"Post-translational protein modification",169,1.74,5,0.0283,1,0.27
"Long-chain-3-hydroxyacyl-coa dehydrogenase deficiency (LCHAD)",26,0.267,2,0.0287,1,0.272
